Country,City,Longitude,Latitude,count
NZ,Invercargill,168.35,-46.41,1
NZ,Dunedin,170.5,-45.87,1
NZ,Southland,167.71,-45.41,1
NZ,Christchurch,172.61,-43.53,1
NZ,Wellington,174.78,-41.29,1
NZ,Nelson,173.28,-41.28,1
NZ,Wellington,174.9,-41.21,1
NZ,Napier,176.92,-39.49,1
NZ,Rotorua,176.25,-38.14,1
NZ,Taranaki,175.47,-37.88,1
AU,Melbourne,144.95,-37.82,1
AU,Melbourne,144.97,-37.82,1
AU,Melbourne,144.96,-37.81,1
AU,Melbourne,144.97,-37.81,2
NZ,Hamilton,175.28,-37.79,1
NZ,Hamilton,175.28,-37.76,1
NZ,Tauranga,176.17,-37.68,1
NZ,Auckland,174.91,-36.93,1
NZ,Auckland,174.68,-36.91,1
NZ,Auckland,174.84,-36.91,1
NZ,Auckland,174.73,-36.88,1
NZ,Auckland,174.78,-36.88,1
NZ,Auckland,174.78,-36.87,1
NZ,Auckland,174.77,-36.85,2
NZ,Auckland,174.83,-36.85,1
CL,Concepcion,-73.05,-36.84,1
CL,Concepcion,-73.06,-36.83,1
CL,Concepcion,-73.04,-36.82,1
NZ,Auckland,174.61,-36.82,1
CL,Concepcion,-73.07,-36.79,1
NZ,Auckland,174.77,-36.79,1
CL,Chillan,-72.1,-36.61,1
AR,Boulogne,-57.87,-34.88,1
AR,Ezeiza,-58.53,-34.8,1
AR,Buenos Aires,-58.4,-34.77,1
AR,Quilmes,-58.26,-34.72,1
AR,San Justo,-58.56,-34.69,1
AR,Avellaneda,-58.37,-34.68,1
AR,Buenos Aires,-58.57,-34.64,1
AR,Moron,-58.65,-34.63,1
AR,Caba,-58.44,-34.62,1
AR,Buenos Aires,-58.43,-34.62,2
AR,Buenos Aires,-58.38,-34.62,2
AR,Buenos Aires,-58.37,-34.62,1
AR,Buenos Aires,-58.52,-34.61,1
AR,Buenos Aires,-58.38,-34.61,3
AR,Buenos Aires,-58.37,-34.61,4
AR,Buenos Aires,-58.36,-34.61,1
AR,Buenos Aires,-58.44,-34.6,1
AR,Buenos Aires,-58.41,-34.6,3
AR,Buenos Aires,-58.4,-34.6,2
AR,Buenos Aires,-58.39,-34.6,6
AR,Buenos Aires,-58.38,-34.6,5
AR,Caba,-58.38,-34.6,1
AR,Buenos Aires,-58.37,-34.6,5
AR,Caba,-58.37,-34.6,1
AR,Buenos Aires,-58.36,-34.6,1
AR,Buenos Aires,-58.43,-34.59,1
AR,Buenos Aires,-58.41,-34.59,3
AR,Buenos Aires,-58.4,-34.59,1
